Geneid	uniprot_accession	time_point	RefSeq	symbol	Full.name	ratio	pValue
7_PEBP4	Q96S96	EB	NM_144962	PEBP4		-0.006793567	0.996000133
10_FUK	Q8N0W3	EB	NM_145059	FUK		-0.227421499	0.755852799
46_PBX2	P40425	EB	NM_002586	PBX2		-0.448413139	0.385906342
47_WBP1	Q96G27	EB	NM_012477	WBP1		-0.298748477	0.276572303
49_PGGT1B	P53609	EB	NM_005023	PGGT1B		0.422982211	0.615935127
51_FBXW2	Q9UKT8	EB	NM_012164	FBXW2		0.304947736	0.118702176
52_TLL2	Q9Y6L7	EB	NM_012465	TLL2		-0.505299883	0.463757616
72_BIK	Q13323	EB	NM_001197	BIK		0.548774242	0.353287141
77_IFNGR1	P15260	EB	NM_000416	IFNGR1		-0.123580245	0.832100716
114_CHRNB2	P17787	EB	NM_000748	CHRNB2		1.441843807	0.117160661
123_RGS14	O43566	EB	NM_006480	RGS14		-1.306451297	0.008017526
153_MT1A	P04731	EB	NM_005946	MT1A		1.875129791	NA
173_NHLH1	Q02575	EB	NM_005598	NHLH1		0.522088954	0.68507258
184_TAF6L	Q9Y6J9	EB	NM_006473	TAF6L		-0.400349679	0.427022125
218_PHGDH	O43175	EB	NM_006623	PHGDH		-1.009539591	0.078116816
232_JUN	P05412	EB	NM_002228	JUN		0.716890252	0.002656563
245_NFKBIE	O00221	EB	NM_004556	NFKBIE		0.34503742	0.487061756
246_FGFBP1	Q14512	EB	NM_005130	FGFBP1		-3.412797439	NA
250_GRAMD4	Q6IC98	EB	NM_015124	GRAMD4		-0.364102177	0.464180359
