UniProt_accession	Gene_Symbol	Gene_name
O00221	NFKBIE	NF-kappa-B inhibitor epsilon
O43175	PHGDH	D-3-phosphoglycerate dehydrogenase
O43566	RGS14	Regulator of G-protein signaling 14
P04731	MT1A	Metallothionein-1A
P05412	JUN	Transcription factor AP-1
P15260	IFNGR1	Interferon gamma receptor 1
P17787	CHRNB2	Neuronal acetylcholine receptor subunit beta-2
P40425	PBX2	Pre-B-cell leukemia transcription factor 2
P53609	PGGT1B	Geranylgeranyl transferase type-1 subunit beta
Q02575	NHLH1	Helix-loop-helix protein 1
Q13323	BIK	Bcl-2-interacting killer
Q14512	FGFBP1	Fibroblast growth factor-binding protein 1
Q6IC98	GRAMD4	GRAM domain-containing protein 4
Q8N0W3	FUK	L-fucose kinase
Q96G27	WBP1	WW domain-binding protein 1
Q96S96	PEBP4	Phosphatidylethanolamine-binding protein 4
Q9UKT8	FBXW2	F-box/WD repeat-containing protein 2
Q9Y6J9	TAF6L	TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L
Q9Y6L7	TLL2	Tolloid-like protein 2
